Topic,Word,Tweets
0,inclusive,@rollnwthehomies @gavisual @IAMAIMOS @goku_nft @Wardalejack @ilitchpeters @JTLissPhotoArt @visualsbypierre @RUFF_DRAFT @patrickwagner @FloppyAbe @TieDyeNinjas @Herb_Castillo @on_abbotkinney @0xcgd @artbydario @_kadeeeem @CHERUBlamusica @ProbCause @erickhercules88 @SellArtNotdrugz We are nothing with out women !!! And thank you for being a dope ass person and being inclusive always
0,inclusive,@anniekatrina @brave @cryptopunksnfts @BoredApeYC @UnitedWay @NFT_Expoverse all inclusive.. all about the people
0,nft,"🟩🟦🟪🟥🟧🟨

⬇️ Land of Shapes and Colors Sell Update!

🔥🚀 I'm super happy to announce my friend @WorkingDog303 has collected #038 Chaos of Cosmos! 

Thank you for your trust and support!

#nftcollectors #NFTCommunity #NFT #NFTs #NFTCollection 

🟩🟦🟪🟥🟧🟨 https://t.co/Iz2hzaowrV"
0,nft,"𝐁𝐌𝐑 𝐉𝐨𝐛𝐬 | 𝐈𝐧𝐯𝐞𝐧𝐭𝐨𝐫
“You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future...”🍎

#NFT #NFTs #NFTCommumity #NFTcolletion #nftart https://t.co/dQqpMkvvWJ"
0,community,"#NFT community: check out the @Grim__Syndicate project by @JustinMezzell.

One of the best chill communities on Discord. Fantastic transparency by the team. Perfect if it’s your first or 10th #Solana project.

Check https://t.co/wzR7JxqsMg
#SolanaNFT #NFTs"
0,community,"The feeling you get once you are a resume #NFT owner on @trust_recruit 
⬇️⬇️⬇️

Explore https://t.co/zC1WzhGfyd for more info
$TRT #NFTs #nftresume #nftcv #Recruitment #nftcommunity #blockchain #Metaverse #MetaverseNFT https://t.co/Cv3g4bzsUM"
1,trust,"@JayTilala13 @steelers_felix @InputOutputHK @IOHK_Charles @IOHKMedia @elonmusk @artano__io @CNFT_IO @ProfesCardano @cryptoknitties @PlanetPalz @OccultaNovellia Nice, I’d take the risk too because I trust the community and our nft creators 😁"
1,trust,"@Dxron2 @JayVTheGreat They have hooks which will allow it, but yes flare will bring smart contracts on a new level, there are NFT trust lines being built currently on the XRPL like SmartNFT"
1,sell,"@dergigi I tried to educate my artist friend that NFT’s are not the solution. Did he listen? He bought the top of a project!
I gained a NFT couple years back (worked to educated myself and won it as result) now it is for sale and I will be stacking sats if it sells. No moral issues there"
1,sell,"@NFTethics this Twitter page is a fkin joke. Paid mods selling an nft?? who cares? Maybe they have a family to support. Who are you BTW, maybe you should DOX?"
1,research,"For anyone new to the NFT space. I suggest you bet on the jockey not the horse! TRUST IN @garyvee @veefriends #VeeFriends #bookgames … observe, research and be patient before investing but Gary is so far ahead when it comes to creating valuable IP, collectibles and utility"
1,research,"Careful out there friends. These people are cheating and stealing there way to $millions off the backs of hard working web3 enthusiasts.
Do your research. I’ll help, first step is following this page @NFTethics 👀

#NFT #NFTs"
1,bit,"@zaikh_nft @lowkeyc_eth @SadBotsNFT @Cyborg86nft I just come here do the comment because i dont want another people lose money like me!!!!!
it was my mistake i trust a lier amatuer bitch team!"
1,bit,"@asemota @alpontif @Sabitoolx I imagine that if this were done right, pieces might fetch 1000x the asking price as an NFT on secondary. They should also of course see that upside too. The 5x is also to build trust b/c they might be like “wtf is an nft, this is a scam”"
1,possible,"@AethrWorld If it is possible to buy and sell, i don‘t understand why it doesn‘t show the price while in the trust wallet...

@Smurf982  
@TakasaiMitsuya 
@mletre_crypto 

#AETHR #NFT #Airdrop"
1,possible,"#justsayYES !!!!!!!!!

#nft #deepthoughts for the #overly #inclusive and the #proclamated 4 #ukraine and #btc #art $googl #hollywood 

#yes !!!!!!!!!!!!!!!!!

#worldpeace is possible if @greg16676935420 will LEAD us TO THE #promiseland !! https://t.co/PdqvSsMjIV"
1,seen,"Are you a #collector or a #curator ? How many #artists are in this photo? 

The #Zilliqa Creator Fund will bring not only a level of art to the #NFT marketplace unlike we’ve seen before.. It is also building trust, cooperation and collaborations between all involved. https://t.co/MBztIw5Bbi"
1,seen,"What can we, as photographers, do to help address the obvious issues with artistic ethics within the NFT space? Beyond this and other examples of the objectification of women, I have seen lots of 'street photography work' taking advantage of homeless people."
1,read,"I bought some hyped but stupid NFTs. And I’ve lost money on nearly all of them. I don’t know about you, but I hate losing money!

Everyone else will start to hate it too (if they don’t already)

Accountability and transparency will be two key factors for NFT success in 2022. GL"
1,read,In before the NFT Ethics thread about how Elon Musks freshman year roomate married Marc Andressens cousins sister and therefore is in a plot to pump BAYC to dominate the world
1,doesnt,"Cup head planet #067 
I know i know ,… it doesnt rly look like a planet buy it is Trust me 😅😄 
#NFTCollection #NFTartist #nft #cuphead https://t.co/FH1uWvQWyW"
1,doesnt,"@Chameleon_NFT's team never stops working!!! Passion people, work doesnt feel like work when you love it.

P.S. @zbush94 why you gotta be bias towards the underworld? Hahahuhu"
1,bias,"@Rodant18 @Nadio101 @Vettel_AMR I didn't address the other points because two were not wrong the other(""greatest ucl goal of all time"") is subjective. And I am not one who opposes facts just bcos I have a bias. But it seems that is what you want me to do. However I wont stoop down to your level just for banter"
1,bias,"Leading marketplaces like OpenSea and Magic Eden provide more visibility to NFT collections as opposed to 1/1 pieces. Although @formfunction is addressing this product bias, it needs to invest in more features that enable artists to elevate the value of each NFT."
1,ive,@nf_tzilla @satchapretto @diverse @SlotieNft slotie nft has some really interesting and future features. This is amazing
1,ive,"@Kenkyo_NFT @_Corke @GiveawayInferno @WaltNFT 

Transparency and good vibes 👍"
2,involved,@OrevaPaul @NizzyNFT @NFTethics That’s the one! I also tagged @Al_CapitanX so was also involved with identifying the scammer and helping the victims!
2,involved,"After 1 year of hard work, we are finally ready to announce the @GenderUnicorns , the first gender-diverse NFT card game.
A new era of socially responsible NFT games is here. Welcome to our journey 🌈
Join discord and get involved today: https://t.co/jpO8buzimf"
2,nft,"@POKEMONNFT_ Did you know that a donation of a nft to the Musée, will ensure an nft, unminted, from our genesis collection, allowing governance within the Musée? As you know, being a museum and gallery takes a lot of community ethics to thrive! https://t.co/sAgH1i04ku via @opensea"
2,nft,@theunknown__nft @theunknown__nft venturing into the unknown with a ticket in hand. I trust we will win :) https://t.co/EAF6uFF7dd
2,investor,"Imagine investing in an NFT that gives you equity in a company and pays you dividends as it generates profit. 

The mints of the NFTs could fund the development of a profitable info product software business with tons of overlap from the consumer side to the investor side"
2,investor,"@addr1Algorithm @Peter08043180 @B0xcar @Psycheout86 Lol at least they didn't leave their investors, players, stake holders despite of what happened. They faced it and they became transparent to us. You can really see that you can trust them. If this only happened into other nft games, maybe they already left us and did nothing. 🤷"
2,hard,"In a trustless era, it can be easy to trust the tech but hard to trust people.

I'm here to tell you, that you can trust @metab_nft ! The team always honors their word! Today, they resolved a support ticket I had in a major way! #ThankYou!!"
2,hard,What does it take to build trust in your NFT? A LOT of hard work just ask @fame_ladies and boy are they flying now!! Here's my interview that takes you on their journey! https://t.co/5dP0if4qS2 #fameladysquad #womeninnfts
2,wont,"gonna sell my account as an nft, i wont give you the password but trust me dude the account is yours on the 𝓫𝓵𝓸𝓬𝓴𝓬𝓱𝓪𝓲𝓷"
2,wont,"@0xcryptonite mmm still a firm believer that we get a less harsh bear + diminished gains for the next cycle

but as eth becomes cheaper in retail eyes 0.1 eth wont look as bad as $400 anymore

we are probably going to get another nft szn but this time the meta will be really diverse vs monke"
2,sure,"@SafemoonMaestro @SafemoonMast @Thomas56742811 I went to opensea and can't find it there, but i went into trust wallet and went to my nft's and i found it. Im not sure if that is where it was suppose to go. Im trying to look at it  ut when i touch it it pops up with a sell thing on there. I am never going to sell it"
2,sure,"I'm not a creator, so I'm not sure how much I can do...

But since I am not a creator, I feel that I can discern the essentials.

For now, I'm going to trust myself for a year, have fun, and keep BETting all the way!

""Stories of usual person betting all the way on NFT"""
2,project,"#Liquidchain # $XLC #YieldFarm #Yield Farming #altcoinseason #GameFi #NFT #DeFi #SmartChain This project is a good and strong team, in a predictable and transparent road map, planned and predicted growth of both the campaign and Your money. Be sure to participate! This is an"
2,project,"@NFT I would say #FATAPECLUB for sure, I can swear on my life that this project is gonna boom, and trust me, i know real NFTs when i see them. https://t.co/ykaGQCrYxm"
2,believe,"@Nobes91 @Frozen_NFT In Rui We Trust 💪

he can art with the best of them and that’s one reason we all believe."
2,believe,"i’m so proud of how my collection is growing 💖 i really am collecting things i love and in which i believe and trust wholeheartedly. i got started on the NFT world just less than a month ago!

i think i’m making really good choices and i’m very proud of myself too 🥰"
2,trust,"Gotta try this shit out

trust wallet nft instagram got hacked need help with this essay need a sugar daddy locked out of discord I lost my metamask"
2,trust,"@nft_momoco If it is possible to buy and sell, i don‘t understand why it doesn‘t show the price while in the trust wallet... Good

@yesikithalopez
@mauryrojas10
@eugenia_romana"
2,make,"@Blissful_Moose Yes lmao
The hearts were an offshoot of the broader movement where people would Photoshop their pfps to have transparent outlines in the same shape  as the nft pfps to make fun of them"
2,make,"@RohunJauhar My crypto experts are @DrewAustin &amp; @ajt. They go deep on investment decisions they make focused on the pick &amp; shovel marketplaces and do it in public

And I trust @Keith_Wasserman &amp; @sweatystartup for the physical NFT advice"
3,remember,.@NFTethics reminds me of this lady 🤣 anyone remember her? https://t.co/LpSYhrFH22
3,remember,"Another @Opensea scam email is making the rounds. 

I want to make ALL novice NFT and cryptocurrency buyers to remember this one Cardinal rule:

🔴 YOU DO NOT HAVE TO VERIFY PRIVATE WALLETS (METAMASK, TRUST ETC) OR OPENSEA ACCOUNTS!

Stay Vigilante!

#nft #NFTCommunity #NFTs #eth https://t.co/CzgLeAZgKA"
3,small,"@bubbleheads_nft Because this is a small project with big ambition and I love that vision look like a very good potential, also the team is really great and I trust them😁💪🏽"
3,small,"6. Amazingly, the NFT gives you the right to be not just an event-goer, but even a shareholder in Drake’s concert. This NFT functions as concert equity, and you’ll get a small slice of the profits. If things break right? Maybe you’ll even make money by attending the show."
3,kind,"💛Hello!!!

This little cute Randocat named Sharkat have been SOLD!!! Feeling SO happy😸

Thank you @AlienMagicEyes for your kind support and trust!❤️🦈🤿

🌈Welcome to the Randocats family🐾

#NFTCommunity #NFTs #NFT #NFTsold #opensea #nftart #nftcollector #NFTartist #NFTProject https://t.co/GtMqQfo3ac"
3,kind,"@SOLgods_ Trustworthy,  honourable , grounded, transparent, fun, kind, intelligent developers and community !! 
As one,  we are all of the above even though we all know it’s an absolutely unbelievable, one of a kind , GODLY project in the making"
3,journey,@jeffexcell Alpha right here! You bring up great points. What resonated with me was “worrying less” and honing thy craft. Last year the worry got to me. I started to doubt myself. Then I saw this tweet by @Kenshiro_NFT &amp; it clicked. It helped me trust my journey &amp; get motivated again
3,journey,"My very first NFT community as I started my Web3 journey back in February. This community is supportive, inclusive, and feels right.  I picked the right one.  #WomenInNFTs #MetaAngels20k"
3,collector,"GRANITE EYE #NFT @VoiceHQ 📸 Fistral #Cornwall 🎞️ transparency, cross-processed 🎨 overpainted with acrylics. Buyer also receives 🖼️ archival giclée print 30"" x 20"" on 308gsm Hahnemüle Photorag https://t.co/cNbk7Xssvj #NFTs #NFTCommunity #NFTdrop #nftcollector #nftsforeveryone"
3,collector,As an NFT collection creator showing your face can be your best asset! People need trust not scams 👁  #nft #NFTGiveaway #NFTcommunitiy #NFTGiveaways #NFTCommmunity #NFTartist #nftcollector #nftcreation
3,bought,@CGSNO @darylquan8 @Hydraze420 @NFTethics Technically not true. If you buy a stolen bicycle or car... and authorities find it via serial number or Vin... it's considered an offense to hold stolen property so it's seized... with no compensation to the person who bought it whether they knew or not.
3,bought,"Out here rdtripping, &amp; got a while to go! Listening to @_anishagnihotri and @hasufl about NFT fairness in the minting process the @UCCPodcast  Go listen, Anish is brilliant. I bought into an NFT called The Great Reset by @farokh using party bid. Cool to hear the story behind it. https://t.co/UkF6vbr4Hp"
3,nft,"@mrdavediamond @psychedelic_nft Not fishy at all. @BAYC2745 has spent the last 6 weeks developing an incredible following through transparency and thoughtful development of his project team. The growth has been purely organic. I encourage you to visit the website and check it out. ✌🏼❤️

https://t.co/MpkaiueO3S"
3,nft,@T_KILLAH @JIKANSTUDIOS Cool! can't wait! @diverse @kushuye1 @Ascendants_nft
3,happy,"So happy for all who got their first NFT from this amazing, inclusive, and caring project @ClinicNFT! Here are some of the BOMB reveals #IMCC https://t.co/Z4cHm1uT9X"
3,happy,"@ReachROCKIN Ok... ok... hear me out... 

The people you need to be reaching are on #LinkedIn 

You need the #NFT rookies. The newbies. The decision makers. They've got to trust that they're in good hands. I'm happy to help w a Q&amp;A?"
3,trust,"BULLISH AF on new tech in the nft space! @Hikari_nfts  Launching their Gen-U system any Min now!
A decision based game where the meta data is decided by your choices. 

Grab one NOW ! this wont be 0.38-0.4 forever trust me! 
(Free Alpha) 
Invest in innovation &amp; teams 💯
#nftart"
3,trust,"""@mopindo you've done an incredible job! We knew we could trust in the specialist. We've been trying to track down an Ice-Cream Van all this time! Now that we know what we're looking for, we can get to work and find it. We're almost there!"" #NFT #NFTCommunity #nftcollector"
3,life,"In real life, the paper-based CoA is prone to forgery, however as NFT CoAs, always trust only the CoAs that come directly from the artist's blockchain address!

Irrevocable proof of provenance!

A physical Warhol is worthless without Warhol Foundation's stamp!

Bring it on chain! https://t.co/LGi3xXmFEj"
3,life,"My biggest recommendation for people whether it's for NFT trading or life; stick to your convictions. The worst mistakes I've made have been going back on my research and decisions. Once you commit to a path, stick it through. Don't FOMO into the next best thing, trust yourself."
4,post,This isn’t the first time I’ve posted about @diverse but you might not realise it. That’s just how diverse (👀) the sneak peeks have been. This might be NFT perfection and there is something for all investors 😍 #diverse #diversenft #nft #nfts #nftcommunity https://t.co/wFe4KLD0Du
4,post,"We remind you that you can list yourselves in order to access the NFTs presale in our website

You have the official link in a posted tweet and remember, only trust official links and always check them, enemies may be just around the corner.

#HeroesLineage #Presale #NFT #P2E #HL https://t.co/N1qigYCCA9"
4,content,"The goodness is the best security! Maybe i am wrong or i am too right! Or, the most values are stored in goodness, so: ""In good we trust!""  !! #PurrNFT #crypto #nft #adult #content #blockchain #defi #love #contentcreator #cryptocurrency"
4,content,"#decentralized #decentralization #solana #censorship #NFT #token #cryptocurrency
#Solcial cannot remove your content, only hide it from public view if the majority decides that the content is illegal or contrary to generally accepted standards of morality."
4,ethics,"@rugpullfinder @NFTethics @coffeebreak_YT 
Hey! Please read this important post &amp; share it with the #NFTCommumity 🙏"
4,ethics,@ABigThingBadly @NFTethics @GutterCatGang Don’t want to alarm anyone but the art is identical https://t.co/qsCnb8f9m4
4,opinion,your background and experience in the space. We noticed that some submissions made changes and/or built off our form language - this is GREAT - diverse opinions are crucial! Follow the instructions hosted on @PacDao site to submit (and claim your NFT!): https://t.co/vspPgkjN9d
4,opinion,"1/ The team.
Ever been a part of an NFT project where you are just a number and your opinions are not heard? Not with the SPC crew, a fully doxxed, fully transparent team that continually get the community involved on any decision. This team genuinely cares."
4,right,@MetaKovacs @NFTethics @moonpay @isotowright Exactly. People protecting their bags obviously.
4,right,"Seven NFT Projects That Are Applying An Equity Lens To Their Work | The impacts of the Web3 space are unfolding in real-time. With a double-edged sword of potential, the bright fut #nft

https://t.co/d7ZMG45oSH"
4,problem,"Another important aspect about the @saibagang Lore Roadmap is that it rewards everyone who participates/contributes qualitatively to grow the lore gang and Saibaverse, even if their submissions aren’t selected.

This solves some big NFT community problems, including inclusivity."
4,problem,"@0xBiased @GRW1971 @invariantlabs_ @monkeybetdao @NFTethics yes, I read it. And I see the allegations and where they lead to. Very disappointing stuff, and actually some of it was pretty inaccurate too.  I don't blame Invariant for a 'scam'. I do acknowledge there was a real execution problem, across many fronts.  I cant abandon monkeys."
4,little,"@RNDMCHARACTERS 2. @crypto_coven Soft spot for this group — my first NFT. Beautiful, inclusive, a little mysterious. Weird wilds!!! (Not my NFT here.) https://t.co/yeAe6qAXxZ"
4,little,@dynastic Tech dudes who try to be “moral” get a little taste of NFT money and instantly fold
4,trust,"The insane amount of trust and respect I have for @iwwon_official and the @CryptoMories team is unmatched 🙌🏼 mories are much bigger than just a jpeg, it’s an inevitable movement of positivity, love and good vibes ❤️"
4,trust,"This is huge 🤗
Thank @LunarCRUSH for highlighting #Roseon top influencers!

🚀 Kudos to @RoseonFinance ambassadors for their contributions to increase #Roseon's awareness and build its trust in the community. 

$ROSN #DeFi #NFT 
#CTBot Adrop Ram 0.2 TRX 30 https://t.co/3EzjMwWjJP"
4,nft,@hornyhorsy_nft Good job.......Done set up trust line👍👍👍
4,nft,"@usmarine2336 @nft_astros @nftsphantoms @coffeebreak_YT @NFTethics when i sent them ur post they just kicked me lol.
they didnt even doxx themselves"
4,time,"An #NFT #nonfungibletoken is not a silly #jpeg ( we’ll 😜 ) but much much more!!!#nfts are investments into communities, their currencies, verified encrypted ownership of a piece of time and digital real estate, that can build equity and  astronomical value #cel #punks https://t.co/RJdaaVc2DU"
4,time,"@MOJO_NFT Cheers! Yeah it's neat eh, using color from a texture as a transparency mask, then shifting that texture coordinates over time. Hopefully I'll use it for a piece at some point, but maybe not haha! 😊"
5,share,"Trust the process

#NFT #nfts #NFTartists #NFTCommunity #nftcollector #NFTcollectibles #kalaniware #minimonstercollective #artbasel #viral #share #trend #trending #art #artists #opensea #rarible #discord https://t.co/7h4X6iSh82"
5,share,"@kar2905 Yeah. The whole NFT piece is dependant on trust, as someone can easily download and share the art (png file)"
5,crypto,"@AIMonkeSolana @SolanaAIMB A good project and strong team in a predictable and transparent road map,this is very interesting project, I am interested and I will support this Project

@roq_mr
@SheddyNLTD
@Lejit 
@Amzy

#sol #memecoin #solanaairdrop #solanaairdrops #nft #nfts #cryptogiveaway #crypto"
5,crypto,@Awesominator3 Trust wallet hacked Gmail account hacker instagram account hacked Twitter i want to invest in crypto bitcoin invest NFT free promotion metmask hacked during error i would pay someone to write this essay for me this essay is due tomorrow i want a beat made i lost bitcoin
5,real,"This project really rellay good 
@MdShaki80575983 
@ShakJalder 
@MdRony87734955
@themosquenft is the most hype upcoming NFT collection! A charity project, which partnered up with exclusive “Jacob &amp; Co” and charity funds to reduce discrimination against certain communities.
Help"
5,real,"The winner that @mrbob_NFT will select from the 3 finalists, will be able to choose his/her favourite egg from the selection of 4 eggs below 💎🔥🚀

Communications will be fully transparent and shared via twitter! This is a real Giveaway to support the @galaxy_eggs 💎🔥🚀 https://t.co/qEtpRzX0mx"
5,ownership,"@FremAMR @RavenRickGrime1 @MorganCrow_NFT @leon_texas @Ravencoin @tronblack @TomYoungSoup @Just_NFTs @JoaquinChabers @HypemanRVN I can make one last point. NFTs can still be proof of ownership of any asset, but there is a bit of trust in transfer of ownership of the asset if it is physical. Digital asset ownership can be handled through a Peer 2 Peer  exchange such as @_RVNGuardian"
5,ownership,Incredible conversation happening today. Excited to hear more trends and how ownership is changing the game for diverse creators. #ThinkLA #NFT #Metaverse
5,digital,"@connectd86 A licence you buy to say you own a digital image (that people often have open access to).

The licence is stored on a ledger that the managing company may have open for people to see.
The image itself, may not be owned by the NFT seller

The idea is to create equity from nothing"
5,digital,"2 new digital #antiwar protest pieces are joining The Woke Lobstah Gallery 1/1 #OpenSeaNFT collection today. This brings the set up to 31 inclusive, diverse, and relevant #avant-garde images. Accepting offers on https://t.co/JoqxDR2J3T
#nft #NFTCommunity #PolygonNFT #WomenInNFTs https://t.co/4Z3MgLW8Cz"
5,asset,"the most valuable asset in the #nft space is not your bags of $eth, expensive #jpgs or big #brains...

its trust..."
5,asset,"The #NFT market is currently undergoing high downside volatility in tandem with the broader crypto and equity markets. In times like these, the need for an uncorrelated digital asset class is apparent. https://t.co/l0d5F2yJoG"
5,year,"If you're looking for a brand that you can trust for the long-term, go for a company that has nearly 20 years of success BEFORE joining the #NFT space. I hold only 3 @AdamBombSquad so this isn't about a pump of my holdings, more reading tea leaves. Coinbase NFT is coming soon..."
5,year,"@cryptobits72 @dogmonauts @Conscious_NFT @disordersNFT @65millionyears_ @Go_apess @FuriousFlowers @BrokenRobotNFT @TheSquidzNFT @RowdyRex @BullzSolana @SkunkFrensNFT @SolKnights_NFT @SolMeow @FractalityWorld @solbikers @PeppyPlatypus for sure doing some cool stuff for the community and the whole sol ecosystem, transparent n doxxed team too. good guys behind it, truly. also a lot of fun ideas along the way so far for community and it's early"
5,token,"@iamLewcid @Timb0ghini @altura_nft I just hold it on trust wallet. If y they aren't native to the treasurer wallet app, you can add a token. Id check out a YouTube video showing how to work trust wallet"
5,token,"Why 210 tokens? We intentionally limited the size. We wanted it to be large enough to be valuable/diverse, but small enough to have a tight knit community. Most NFT collections are &gt;5,000. We chose a price point that involved a commitment from people who recognized the value."
5,nft,"The Unknown Clowns were generated from 11 element types, each with 100 digitally painted variations + other randomly calculated factors such as position, color, transparency etc. 

Each 1/1 | 5TEZ

Next drop: in ~30 min
https://t.co/EzhHGrP7Sv

#nft #Collectibles #hicetnunc #art https://t.co/CrhuWa4dYN"
5,nft,"@meek_nft @Queenserah3 @NazarethWoods @DanielRegha @davido Bro it is our business okay
Maybe baba nor won share the money b4 but with Daniel demanding for accountability every week made him too
Because we Nigerians ain't used to transparent and accountable govt na why we dey blast Daniel"
5,equity,"New NFT called Real Estate, tangible, you can build equity with it over your life span, able to sleep in it, very crazy"
5,equity,"As we can see, fundraising announcements generally don't have a sustained increase on NFT sales volume or floor price.

VC equity investment is very different from buying NFTs, and NFT collectors often have short attention spans and low capital- and community-switching costs."
6,planned,"A good project and strong team in a predictable and transparent road map planned and projected.  I think in the near future I will see an authentic growth of this project

@GxSajib
@Ahanaf4517
@Mehedy29 

#Airdrop #Crypto #Giveaway #NFT #BSC #FreeToPlayToEarn"
6,planned,"@HunnyFinance This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successful and I am here to really support your project.
@AkramulFaisal
 
@mygksj0409

@meyyosh
#NFTDrops #NFTGiveaway #nftcommunity #nftart #nftcollector #NFT"
6,projected,"@AvalancheSwap Amazing project and strong team in a predictable and transparent road map planned and projected. I think in the near future I will see an unprecedented growth of this project. Good luck. 
@babu__kkk 
@Ankitya93533056 
@gabbar_cp 
#Airdrop #NFT #BSC"
6,projected,"A good project and strong team, in a predictable and transparent road map, 
planned and projected. 
I think in the near future I will see an authentic growth of this project.

@Risema1571
@mhmdboyphv_
@Sarsboy_
 
#Airdrop #Giveaway #NFT"
6,map,"@fund_neuron This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. Always be waiting for the progress of this project. To the moon 🚀

@Sumon926
@Ashik994
@Subrodeb13

#BSC #NFT #NF🚀"
6,map,"@RoundtableDAO A good project and strong team in a predictable and transparent road map, planned and projected, this is very interesting project, I am interested and I will support this Project 
@Tusher415
@114_RON
@akash24135825

#NFT #NFTGaming"
6,predictable,"@9DNFT A good project and strong team in a predictable and transparent road map,planned and projected.I think in the near future I will see an authentic growth of this project.
@sammy2deva 
@KangMansyur3
@dianarjunaku

#NFT #BEP20 #Metamask #Airdrop #9deoctubredeoctubre"
6,predictable,"Thanks for this good opportunity  .

This is one  of good project and strong team in a predictable and transparent road map , planned and projected. 
 
Guys check it out :-

@KalyaniRout6
@Aheer00
@obizainad322
@Khushi673

#MythArt  #NFT #Airdrop"
6,strong,"@FiaProtocol This is strong team, a transparent, planned and project roadmap. it will be huge and successfulI. Always be waiting for the progress of this project. 🚀
 
@YourUsername 
@moon01328644  
@aldeandroid  
#FIA #FiaProtocol #NFT #Airdrop"
6,strong,"@ProjectX_NFT I hope it will be something extraordinary, success always for this team. This is excellent project for the future with strong team, a transparent. It will be successfull.          @afrimhajra     @HaileyLennonBTC      @honglinhkute 
$XIL #NFTs #ProjectX"
6,road,"@KushCabinNFT @CyberCityGirls A good project and strong team in a predictable and transparent road map , planned and projected. I think in the near future we will see an unprecedented growth of this project.

#NFTs  #NFT #giveaway"
6,road,"@MythNft good project and strong team, in a predictable and transparent road map, planned and projected. I think in the near future I will see an unprecedented growth of this project.

@Bee82Silva 
@Tajussrf_ 
@cinnamonxy 
@Luthfiyanda_ 

#BSC #BinanceSmartChain #NFT"
6,team,This is a great project based on unique ideas and has great team.The project is based on great concept and real potential..i really trust on this project. #lepasa #nft #blockchain
6,team,"This is excellent project for the future with strong team, a transparent, planned and project roadmap it will be successful.#aqarchain #blockchain #realestate #tezos #crypto #cryptocurrency #tokenization #decentralization #Defi #NFT #BTC #Altcoin #Polygon"
