,Tweets,Url,User,file,followersCount,likeCount,metionedUsers,retweetCount
725,next NFT pfp collection make eth floor Punks Kongz Apes done next Genuine answer please without bias looking shop,https://twitter.com/PunkieEth/status/1503507847358959620,PunkieEth,bias,25565,597,,42
749,recorded first Take Space podcast community spoke amazing autistic queer biracial leader covered Empathetic leadership Unlearning unconscious bias Advice aspiring leader Join discord hear first,https://twitter.com/takeupspacehq/status/1502605394979524615,takeupspacehq,bias,3886,5,['ChessyCollins'],0
816,Womens History Month Party Lets highlight woman artist achievement raise awareness bias NFT art world free stereotype discrimination diversity inclusivity valued celebrated Drop NFT art ETH ETH,https://twitter.com/wildalps/status/1500893273778438149,wildalps,bias,34940,252,,55
832,PSA youve become bagholder youve recently fomod next blue chip nft may risk bagholder bias Side effect may include difficulty staying neutral blurring fact ignoring blockchain fundamental tweeting fud every minute,https://twitter.com/NFTherder/status/1500148381674573826,NFTherder,bias,42412,177,,35
843,celebrate International woman day th March creating illustration inspiring woman NFT space Nominate tagging handle Lets break bias together,https://twitter.com/wearelivingNFT/status/1499715114395750400,wearelivingNFT,bias,3268,11,['wearelivingNFT'],4
1067,see NFT Twitter survivorship bias Wins talked often congratulated loss hidden,https://twitter.com/Loopifyyy/status/1489922066170011653,Loopifyyy,bias,201014,560,,50
1190,want scream really want scream Im bias ughhh fuckkkkkkkkk ok back,https://twitter.com/farokh/status/1486145373471186948,farokh,bias,333160,30,"['osf_nft', 'RugRadio', 'RemindMe_OfThis']",1
1223,remove human element yes reality space built community culture one didnt magically forget bias discrimination,https://twitter.com/betty_nft/status/1485224794794897412,betty_nft,bias,86967,7,['IIMummRaII'],0
1248,VRF enabled new era provably fair gaming distribution longer user question integrity random selectionthey publicly verify randomness generated without bias tampering,https://twitter.com/Smart_Contract/status/1483939074381651969,Smart_Contract,bias,61693,155,,28
1309,Respectfully disagree huge amount incredible work doesnt well implicit bias unequal representation gender within space reach equality effort need put amplifying underrepresented group,https://twitter.com/betty_nft/status/1481147315549540356,betty_nft,bias,86967,39,['Chodan_Bakri'],1
1332,Cognitive bias NFT market one day seen greatest live experiment behavioral finance imho,https://twitter.com/sergitosergito/status/1479912475852259331,sergitosergito,bias,41809,2,"['osf_nft', 'GencoLaw']",0
1361,keep saying curse knowledge cognitive bias definitely steering cautious whereas time last year newbie gungho would newbie rn let see hopefully caution needed,https://twitter.com/osf_nft/status/1478522959346249729,osf_nft,bias,175360,25,,0
1421,interesting see evolution art style NFT space project something different fresh seem one rise top Signal bias,https://twitter.com/DataNFT_/status/1475890864509505537,DataNFT_,bias,36286,42,,0
1454,OG crypto NFT people paranoid future winter cognitive bias curse knowledge Whats different compared mass adoption proven concept technology utility getting another crypto winter,https://twitter.com/osf_nft/status/1474036239699484676,osf_nft,bias,175360,69,,4
1570,Transparency fairness key pillar success enabled DAO using VRF shuffle user mint reveal Learn help eliminate bias,https://twitter.com/Smart_Contract/status/1465742203490287622,Smart_Contract,bias,61693,110,['wallstreetdads'],29
1647,clearly E cowboy shirt Smart buy ape approves bias,https://twitter.com/jmt_nft/status/1460288099272044552,jmt_nft,bias,31240,4,"['domain', 'boredapebot']",0
1724,ego bias seriously need take look mirror Lets forget past allegation faced look Axie second many time completely alienated disregarded community push agenda Many time,https://twitter.com/CryptoKing_NFT/status/1455353562817458179,CryptoKing_NFT,bias,68448,17,"['ZyoriTV', 'GalAxie_Iskowad', 'AxieInfinity']",6
1757,Theres number people posting bought Doodles cause said look dumb day ago Understand market never wrong market like Doodles momentum make money NFT trader cant let personal bias get way,https://twitter.com/beaniemaxi/status/1452002681518702600,beaniemaxi,bias,181296,977,,54
1781,PSA youve become NFT bagholder may risk bagholder bias Bagholder bias lead difficulty staying neutral blurring fact ignoring blockchain fundamental tweeting word fud every minute,https://twitter.com/NFTherder/status/1450198650198663173,NFTherder,bias,42412,74,,11
1814,Anybody make fun people bag illogical bias tribalism pathetic tbh agree havent seen Pengus see different thing NFT avatar gotten competitive think collaborative support better WAGMI,https://twitter.com/ColeThereum/status/1448032310553718789,ColeThereum,bias,123007,35,['NFTmachine'],3
1845,decentralized marketplace AR VRgenerated integrated VRF enable minting random without tampering biasbringing fair exciting gamified element chance process collecting,https://twitter.com/chainlink/status/1446082136545628160,chainlink,bias,905564,458,['xanalia_nft'],97
1856,Ive set seperate Twitter account track NFT datastats follow account far tweet abnormal NFT activity one else Feed noise bias opinion fact,https://twitter.com/DCLBlogger/status/1445256807107096586,DCLBlogger,bias,226388,297,,28
1913,yes Ethereumbased episode recently talk case doesnt mean NFT ecosystem wont emerge become successful believe time high value natural bias towards Ethereum,https://twitter.com/iamDCinvestor/status/1439635961307148290,iamDCinvestor,bias,221386,1,"['AlanWunsche', 'BanklessHQ', 'Delphi_Digital']",0
1932,Ive never seen confirmation bias NFT community Youve immediately demonized thorough guy OpenSea post alleging insider trading Mike Tyson convicted jury peer raping teenage girl pump bag love,https://twitter.com/beaniemaxi/status/1437981481889058818,beaniemaxi,bias,181296,574,,32
1955,anonymity use pfps brings provide safety empowerment marginalised people creating equal playing field folk interact without preexisting bias spilling,https://twitter.com/betty_nft/status/1435440084266852356,betty_nft,bias,86967,24,,0
1991,Decentraland land plot value future solely due early NFT project ton land cant help bias take thing Cryptovoxels Somnium Space hmm,https://twitter.com/DCLBlogger/status/1431577678616743940,DCLBlogger,bias,226388,120,,17
2074,familiar survivorship bias worth reading real NFT especially twitter discord amplifying everything everyone see flipping way punk there many lost ass see,https://twitter.com/jesse_altman/status/1416224591173853188,jesse_altman,bias,12580,31,,1
2075,Haha nifty rekt LOT people Timing important early right project take lot research conviction luck lot survivorship bias,https://twitter.com/jesse_altman/status/1416223532716072963,jesse_altman,bias,12580,3,['MadlynnArt'],0
2078,Im obviously seeking confirmation bias Id say higher,https://twitter.com/osf_nft/status/1414774864335024134,osf_nft,bias,175360,2,"['andy8052', 'beaniemaxi']",0
2102,thing Ive trusted learn NFT space mistake Minimal reading experimenting Might cost money time learning raw come opinion bias,https://twitter.com/DCLBlogger/status/1408141439595278336,DCLBlogger,bias,226388,61,,1
2106,Theres rarely thing overnight success Almost artist Ive seen crush NFT grinned year decade Often total obscurity Creating ream work nobody look x Keep mind hard Survivor bias real,https://twitter.com/jesse_altman/status/1406261108634230786,jesse_altman,bias,12580,77,,14
2128,highlight bias towards certain people project curious position supposedly decentralized NFT platform who lawyer say need KYC AML check decentralized take,https://twitter.com/beaniemaxi/status/1399771804722417665,beaniemaxi,bias,181296,3,"['hunterorrell', 'punkscomic', 'opensea', 'xanderatallah', 'thenftattorney']",0
2129,enter Blacksquare free prejudice Blacksquare stand kind discrimination racism war oppression Blacksquare OBEY,https://twitter.com/blacksquare_art/status/1531698806810632196,blacksquare_art,discrimination,6843,11,,1
2402,strongly believe best platform giving creator equal opportunity algorithm within TikTok unmatched recommends content whether follower million discrimination like platform,https://twitter.com/CryptoKing_NFT/status/1499960884688424964,CryptoKing_NFT,discrimination,68448,64,,17
2459,Theres fine line condemning cancel culture cultural insensitivity someone hasnt personally suffered discrimination life judge Im freedom belief branding everything cancel culture right,https://twitter.com/osf_nft/status/1490878419105873922,osf_nft,discrimination,175360,36,,2
2467,Perpetuating hatred marginalised already atrisk people cannot accepted religious freedom contribute discrimination,https://twitter.com/betty_nft/status/1490222897880657920,betty_nft,discrimination,86967,2,['CrazyAustin0_o'],0
2685,Absolutely think real life privilege discrimination still affecting space though Im keen see community work erode,https://twitter.com/betty_nft/status/1447135201193119748,betty_nft,discrimination,86967,2,"['montalut', 'LordKyran']",0
2698,appreciate sentiment ask leave gender anything opinion undermine fact many people experience real discrimination based gendergender expression Id rather move forward acknowledging imbalance,https://twitter.com/betty_nft/status/1441012743339798528,betty_nft,discrimination,86967,1,"['kloflin86', 'RAFAELA_RIGO_']",0
2787,first live guest lecture part Beginners Web Playbook helping upskill community diverse leader,https://twitter.com/takeupspacehq/status/1531339667206979585,takeupspacehq,diverse,3886,9,"['carrotcakesol', 'tryrollhq']",2
2790,DIVERSE METAVERSE item owner floor price STEP WORLD open monthly airdrop NFT holder,https://twitter.com/wearelivingNFT/status/1531326336534728705,wearelivingNFT,diverse,3268,8,,2
2866,stay diverse looking ahead tech Doesnt mean believe COULD future mean setting variable,https://twitter.com/goku_nft/status/1529928617832202245,goku_nft,diverse,15966,1,,0
2875,Changemaker found new home brilliant George Gillette LinkedIn Big welcome George thank supporting joining diverse inclusive community web,https://twitter.com/takeupspacehq/status/1529789935938584578,takeupspacehq,diverse,3886,18,,0
2890,DIVERSE X ANKH giving away x Whitelist spot enter Follow Like Retweet Tag friend Ends hour good luck,https://twitter.com/diverse/status/1529491489981616128,diverse,diverse,77180,1587,"['ANKH_project', 'ANKH_project', 'diverse']",1512
2901,Admire extremely diverse unique Animal NFT Collection OpenLive NFT Check adorable unique Animal NFT Collection OpenLive NFT platform Adorable Animal World Lets protect animal world together Click,https://twitter.com/OpenLiveNFT/status/1529310805358878721,OpenLiveNFT,diverse,71243,19,,1
2912,Asia Awaken curated brings together artwork represent diverse experience style culture artist Asian descent around world Check,https://twitter.com/SuperRare/status/1529145430185070592,SuperRare,diverse,336200,130,"['cyber_yuyu', 'sixela_nft']",35
2981,Diverse holder able mint alpha card cost part juicy alpha information reward who excited,https://twitter.com/diverse/status/1528361584006930436,diverse,diverse,77180,66,,20
2994,NEW NFT drop DIVERSE METAVERSE Year year teleportation,https://twitter.com/wearelivingNFT/status/1528153349090156546,wearelivingNFT,diverse,3268,12,,0
3042,genderdiverse tech leader summit power photo exudes,https://twitter.com/takeupspacehq/status/1527398322692141056,takeupspacehq,diverse,3886,12,['womeninitawards'],3
3043,comic unique wallet holder NFT project spread diverse holder make history one,https://twitter.com/HiRezTheRapper/status/1527380149376716807,HiRezTheRapper,diverse,112221,162,,45
3064,gamer DIVERSE hold LIVE tournament ETH Diverse NFT reward following game CALL DUTY FIFA PUBG FORTNITE information shared Monday May Get ready gamers,https://twitter.com/diverse/status/1527052268104728577,diverse,diverse,77180,77,,33
3090,NFT DROP DIVERSE METAVERSE average chick listed,https://twitter.com/wearelivingNFT/status/1526693634728402947,wearelivingNFT,diverse,3268,15,['opensea'],2
3091,NFT DROP DIVERSE METAVERSE Parallel reality listed,https://twitter.com/wearelivingNFT/status/1526691333582245888,wearelivingNFT,diverse,3268,9,['opensea'],2
3100,Honoured list cant wait see Changemaker Wed love shoutout friend focusing accessibility mental health inclusion leader DEI minting help onboard diverse folk,https://twitter.com/takeupspacehq/status/1526582118725345283,takeupspacehq,diverse,3886,5,"['jpritteeNFT', 'NotYourBroNFT', 'MyBFF', 'meta_angels', 'CPGCLUB', 'MMonstersClub', 'ohnahji']",1
3104,GM Changemakers appreciate every single one Together build future diverse leader create real change community Love favourite queer nonbinary founder dog Lonzo,https://twitter.com/takeupspacehq/status/1526531555790934016,takeupspacehq,diverse,3886,25,,1
3113,coming collective NFT collection created showcasing diverse range woman avatar paired weapon See Baumann others affiliate ATX Register,https://twitter.com/CoinDesk/status/1526366646432153606,CoinDesk,diverse,3019245,53,"['WomenandWeapons', 'consensus2022', 'NFTSaraBaumann']",11
3123,Us mission onboard next queer POC web Changemaker NFT membership pas diverse leader training webinars workshop coaching mentoring peertopeer funding community Help support socialimpact project today,https://twitter.com/takeupspacehq/status/1526268865445089283,takeupspacehq,diverse,3886,6,"['nftChanelle', 'TheRoyalsNFT', 'HouseofFirst', 'MetaWomenNFT2', 'meta_angels', 'WomenTribe_nfts', 'NotDolls_nft', 'PowerOfWomenNFT', 'lostgirls_nft']",0
3127,NFT project want u buy gift community,https://twitter.com/diverse/status/1526211062558871552,diverse,diverse,77180,62,,18
3144,NEW NFT DROP Journey Cosmos listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525904822955872257,wearelivingNFT,diverse,3268,10,['opensea'],0
3150,NFT DROP Supper Tokyo listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525864454629511169,wearelivingNFT,diverse,3268,5,['opensea'],0
3151,NFT DROP Save tear featuring Ariana grande listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525861597113159680,wearelivingNFT,diverse,3268,6,"['theweeknd', 'opensea']",1
3152,NFT DROP first alien autopsy listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525854612586209280,wearelivingNFT,diverse,3268,6,['opensea'],1
3153,NFT DROP Galactic ape listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525853749226491904,wearelivingNFT,diverse,3268,7,['opensea'],0
3154,NFT DROP Moonbaby awake listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525853244097961984,wearelivingNFT,diverse,3268,17,['opensea'],3
3155,NFT DROP Call get lost listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525852600305954818,wearelivingNFT,diverse,3268,3,['opensea'],0
3156,NFT DROP Future pt listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525851928952963074,wearelivingNFT,diverse,3268,2,['opensea'],0
3157,NFT DROP Thinkin listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525850796771971072,wearelivingNFT,diverse,3268,9,['opensea'],0
3158,Lets go diverse community got waiting lucky holder TONIGHT live discord join discord,https://twitter.com/diverse/status/1525849404086812675,diverse,diverse,77180,46,['Imaginary_Ones'],18
3160,NFT DROP got vision babyyy listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525836085271601152,wearelivingNFT,diverse,3268,3,['opensea'],0
3161,NFT DROP Space base cafe listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525832571707432961,wearelivingNFT,diverse,3268,4,['opensea'],2
3162,NFT DROP Game listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525830442741637122,wearelivingNFT,diverse,3268,7,['opensea'],2
3163,NFT Collaboration x Two style two technique one art universe merging creative heart listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525829254767955969,wearelivingNFT,diverse,3268,4,"['Arty_Anny', 'wearelivingNFT', 'opensea']",1
3164,NFT DROP Visit listed Diverse Metaverse ETH Polygon,https://twitter.com/wearelivingNFT/status/1525828477080985603,wearelivingNFT,diverse,3268,15,['opensea'],6
3174,NFT DROP Parallel reality listed Diverse Metaverse,https://twitter.com/wearelivingNFT/status/1525645852202749954,wearelivingNFT,diverse,3268,14,['opensea'],1
3175,NFT DROP Cocktail bar space listed Diverse Metaverse,https://twitter.com/wearelivingNFT/status/1525644576660275201,wearelivingNFT,diverse,3268,19,['opensea'],3
3176,NFT DROP average chick listed Diverse Metaverse,https://twitter.com/wearelivingNFT/status/1525643202748989441,wearelivingNFT,diverse,3268,8,['opensea'],0
3178,NFT DROP Aliens cruising space listed Diverse Metaverse,https://twitter.com/wearelivingNFT/status/1525640762733502467,wearelivingNFT,diverse,3268,7,['opensea'],0
3179,NFT DROP Interstellar skate park listed Diverse Metaverse,https://twitter.com/wearelivingNFT/status/1525638486283411456,wearelivingNFT,diverse,3268,10,['opensea'],1
3180,NFT DROP Alien hitchhike listed Diverse Metaverse,https://twitter.com/wearelivingNFT/status/1525635309450428417,wearelivingNFT,diverse,3268,9,['opensea'],0
3181,NFT DROP Egypt experienced ever know listed Diverse Metaverse,https://twitter.com/wearelivingNFT/status/1525633442758664193,wearelivingNFT,diverse,3268,8,['opensea'],0
3192,Mint Changemaker today support diverse leader future,https://twitter.com/takeupspacehq/status/1525495432201265153,takeupspacehq,diverse,3886,4,,1
3256,abundantly diverse underworld set unwrap Ready u Join quest,https://twitter.com/MetaGamingGuild/status/1524659500925345792,MetaGamingGuild,diverse,64065,15,['metasagawarrior'],6
3266,NFT DROP Eye need space sometimes good switch world take time recharge listed DIVERSE METAVERSE,https://twitter.com/wearelivingNFT/status/1524520270475808770,wearelivingNFT,diverse,3268,5,,0
3286,NFT DROP human make everything hard work listed DIVERSE METAVERSE collection,https://twitter.com/wearelivingNFT/status/1524165480382148609,wearelivingNFT,diverse,3268,9,['opensea'],0
3296,take space share mission support create diverse leader web beyond Changemaker NFT provides access Web Onboarding Course Intersectional Leadership Training Mentor Matchmaking Community changemakers,https://twitter.com/takeupspacehq/status/1524041870099333124,takeupspacehq,diverse,3886,5,['EstherKuforiji'],0
3308,Mint Changemaker creating next generation diverse leader LGBTQ womenled Fully doxxed team Intersectional leadership training LIVE Events Workshops Mentorship Programmes Web NFT Onboarding Cohort,https://twitter.com/takeupspacehq/status/1523760628648714242,takeupspacehq,diverse,3886,3,['FungibleTokn'],0
3311,QG focused providing support funding skill building education inclusive housing medical aid gender affirming care queer POC need wellbeing need met become diverse leader first place,https://twitter.com/takeupspacehq/status/1523704321178701825,takeupspacehq,diverse,3886,10,,1
3335,Heres ally uplifting amplifying advocating diverse inclusive web,https://twitter.com/takeupspacehq/status/1523059790280159232,takeupspacehq,diverse,3886,10,,1
3341,SHIBAYC NFT diverse PFP collection consisting trait trait assigned specific rarity making funtotrade later integrated SHIBKOMBAT PvP Wager game Total Supply Mint Price ETH Mint,https://twitter.com/purpledudenft/status/1523009477141614593,purpledudenft,diverse,594932,664,,144
3344,fun reading check Rainbow Paper mission create diverse leader build empowering community web,https://twitter.com/takeupspacehq/status/1522978134404046851,takeupspacehq,diverse,3886,3,['juubiesaphoenix'],0
3345,result Every single TUS community member call Changemakers empowered create change become leader web beyond utility becoming BEST version Alongside diverse inclusive community web,https://twitter.com/takeupspacehq/status/1522963139133939713,takeupspacehq,diverse,3886,7,,2
3346,first NFT project focused creating diverse leader stopping key roadmap initiative include Funding diverse founder Mentorship Programmes Web Onboading Education mint dedicated grant BIPOC LGBTQ,https://twitter.com/takeupspacehq/status/1522963136315285504,takeupspacehq,diverse,3886,11,,5
3347,Diverse leader NEED support gain confidence overcome systemic oppression need heal learn GROW step power build thing improve world want cultivate within TUS global collective,https://twitter.com/takeupspacehq/status/1522963133299675138,takeupspacehq,diverse,3886,7,,1
3348,exist Diverse leader help create change community Whether Advocating human right Creating inclusive workplace Inspiring diverse leader best people advocate u first must overcome barrier,https://twitter.com/takeupspacehq/status/1522963131923894272,takeupspacehq,diverse,3886,8,,1
3349,Weve got lot new follower lately allow u reintroduce Take Space global collective mission create world diverse leader genesis Changemaker NFT Collection membership pas community,https://twitter.com/takeupspacehq/status/1522963129961005057,takeupspacehq,diverse,3886,126,,20
3350,using mint support BIPOC LGBTQ folk providing grant wellbeing need startup funding Holders access diverse leadership training recommend check pioneering philanthropy fund changemakers across globe,https://twitter.com/takeupspacehq/status/1522949414171688966,takeupspacehq,diverse,3886,14,"['RevMacLive', 'HoneyBadgesNFT']",5
3358,NFT DROP Diverse Metaverse Auction Fun friday price set hour go Highest offer chosen minimum limitwho cosmic babe exploring bike unknown pm BST,https://twitter.com/wearelivingNFT/status/1522713278954151936,wearelivingNFT,diverse,3268,12,,0
3361,WELCOME diverse inclusive community web Look lil Changemaker,https://twitter.com/takeupspacehq/status/1522688405188005889,takeupspacehq,diverse,3886,7,['fang_fatales'],0
3362,NFT DROP DIVERSE METAVERSE Elons Vision includes unlockable content Available ETH Polygon,https://twitter.com/wearelivingNFT/status/1522638659102642178,wearelivingNFT,diverse,3268,10,"['elonmusk', 'opensea']",1
3370,great thread key part utility Diverse Leaders Training didnt want gatekeep purely holder instead folk Contribute Earn TUS social token unlock section Training Accessibility important,https://twitter.com/takeupspacehq/status/1522481855328669696,takeupspacehq,diverse,3886,5,['worldofwomennft'],0
3373,Hi Definitely u queer Black womenled onboarding educating empowering underrepresented group web beyond mission create diverse leader community small mighty,https://twitter.com/takeupspacehq/status/1522472743903584256,takeupspacehq,diverse,3886,4,,1
3379,NEW NFT DROP Screammm landed DIVERSE METAVERSE,https://twitter.com/wearelivingNFT/status/1522357490326937602,wearelivingNFT,diverse,3268,9,,0
3403,nominate Hi Take Space exist onboard educate empower BIPOC LGBTQ woman web beyond mission create community diverse leader providing mentoring coaching development would love chat,https://twitter.com/takeupspacehq/status/1521966069988175872,takeupspacehq,diverse,3886,5,['surge_women'],0
3446,DIVERSE METAVERSE NFT DROP Face inner demon listed ETH Polygon,https://twitter.com/wearelivingNFT/status/1521235085315432453,wearelivingNFT,diverse,3268,10,['opensea'],2
3466,NFT DROP Divine Goddess Goddess doesnt enter u outside emerges deep within listed DIVERSE METAVERSE collection,https://twitter.com/wearelivingNFT/status/1520906209448112128,wearelivingNFT,diverse,3268,11,['opensea'],0
3468,Hi Take Space global collective help unlock inner Changemaker ETH Changemaker NFT lifetime membership curriculumbased leadership training mentor diverse inclusive community web mint go BIPOC LGBTQ,https://twitter.com/takeupspacehq/status/1520882884629905408,takeupspacehq,diverse,3886,24,['PeNatalie'],8
3469,NFT DROP City sight dropped DIVERSE METAVERSE collection,https://twitter.com/wearelivingNFT/status/1520873070847741952,wearelivingNFT,diverse,3268,5,['opensea'],0
3470,NFT DROP Ride life dropped DIVERSE METAVERSE collection,https://twitter.com/wearelivingNFT/status/1520859074321072128,wearelivingNFT,diverse,3268,6,['opensea'],1
3483,gm got work sale Im airdropping holder airdropped NFT lovely frens likely repeat honor web culture inclusiveness world diverse dear HChip initiative value community driven,https://twitter.com/wildalps/status/1520677559784165377,wildalps,diverse,34940,4,['HChipNFT'],0
3484,part project long term commitment space PixelSaurus fun family friendly diverse inclusive collectible embrace disability current mint invite join story,https://twitter.com/PixelSaurusNFT/status/1520650153920765952,PixelSaurusNFT,diverse,8112,6,,3
3500,Im becoming person looking Investor Founder Author power diverse leader compounding representation,https://twitter.com/takeupspacehq/status/1520401975048912899,takeupspacehq,diverse,3886,17,['ArlanWasHere'],1
3501,NFT space inclusive diverse every community separate thread channel discus an connect themIt help encourage make space inclusive,https://twitter.com/srimoam/status/1520401131402559489,srimoam,diverse,5635,1,"['CyborgNomad', 'FidelEverywhere', 'punk6529']",0
3508,GM Fam PixelSaurus Tri MINTED Mint Price Mint PixelSaurs part story Fun family friendly diverse x Innovative Utilities Safe secure minting,https://twitter.com/PixelSaurusNFT/status/1520371958675824640,PixelSaurusNFT,diverse,8112,6,,1
3538,PixelSaurus Tri MINTED Mint Price Floor Price Mint PixelSaurs part story Fun family friendly diverse x Innovative Utilities Safe secure minting,https://twitter.com/PixelSaurusNFT/status/1519781258028621827,PixelSaurusNFT,diverse,8112,16,,10
3561,Join u Friday cofounder speaks first virtual summit Paff join web founder leader innovator around world sharing Take Space mission creating diverse leader Register,https://twitter.com/takeupspacehq/status/1519439768462921728,takeupspacehq,diverse,3886,19,"['thisispaff', 'web3inclusivity']",6
3563,mint go ETH Fun family friendly diverse inclusive Choose x trait Handwritten background story Safe secure minting Trademarked OpenSea Verified,https://twitter.com/PixelSaurusNFT/status/1519434944916987915,PixelSaurusNFT,diverse,8112,14,,7
3578,Team Team Dropping soon,https://twitter.com/diverse/status/1519273296457605122,diverse,diverse,77180,81,,32
3589,far Mint Tris minted Mint Price ETH Floor Price ETH Fun family friendly diverse inclusive x Innovative Utilities Trademarked OpenSea VERIFIED,https://twitter.com/PixelSaurusNFT/status/1519020268445917184,PixelSaurusNFT,diverse,8112,11,,4
3593,Q would describe brand Women Weapons brand mission highlight intrinsic power woman build significant global diverse community web,https://twitter.com/Coinbase_NFT/status/1519016040520314880,Coinbase_NFT,diverse,540404,49,,4
3600,news Ive signed bring NFT Gaming diverse audience across gaming culture Read via,https://twitter.com/brycent_/status/1518978491504545793,brycent_,diverse,186612,901,"['vaynersports', '137pm']",111
3603,new global collective empowers people diverse intersectional identity become Changemakers Creating ripple change benefit individual community generation come,https://twitter.com/takeupspacehq/status/1518939661036572673,takeupspacehq,diverse,3886,13,,2
3604,world need diverse leader Since beginning system designed intentionally exclude underserve BIPOC LGBTQ people Thats excited share collective Take Space,https://twitter.com/takeupspacehq/status/1518939659065339904,takeupspacehq,diverse,3886,77,,24
3615,PixelSaurus Tri MINTING Minted Mint Price SUPER GasSaver Floor Price Fun family friendly diverse inclusive x Innovative Utilities Safe secure minting VERIFIED,https://twitter.com/PixelSaurusNFT/status/1518844282219728899,PixelSaurusNFT,diverse,8112,10,,6
3621,Feel free give u follow well miss mission create next generation diverse leader topic diving,https://twitter.com/takeupspacehq/status/1518696609537835008,takeupspacehq,diverse,3886,3,"['gwen13221', 'futurelilith', 'cult_leader_en']",0
3639,project working create diverse equitable web,https://twitter.com/takeupspacehq/status/1518340482530791426,takeupspacehq,diverse,3886,10,"['BlackCollegeNFT', 'DeafHandzNFT', 'HoneyBadgesNFT', 'MMonstersClub', 'MadJellyNFT']",0
3642,Show DinoMight Mint PixelSaur part RAWRsome Club left mint Fun family friendly diverse inclusive Safe secure minting x Innovative Utilities VERIFIED account,https://twitter.com/PixelSaurusNFT/status/1518297611308089344,PixelSaurusNFT,diverse,8112,14,,5
3648,NFT Holders DIVERSE METAVERSE GALAXY GIRLZ collection check hidden sent Self reflection anyone purchase NFT today receives rare piece,https://twitter.com/wearelivingNFT/status/1518226809422331904,wearelivingNFT,diverse,3268,7,,2
3656,MINTS REMAIN Mint Price ETH gas saver Floor Price ETH Fun family friendly diverse inclusive x Innovative Utilities Trademarked verified,https://twitter.com/PixelSaurusNFT/status/1517988789116936195,PixelSaurusNFT,diverse,8112,27,,16
3664,THANK helping u reach Followers Mint PixelSaurs ETH gas saver Fun family friendly diverse inclusive Safe secure minting Innovative Utilities VERIFIED OpenSea account,https://twitter.com/PixelSaurusNFT/status/1517856975857635333,PixelSaurusNFT,diverse,8112,29,,12
